iter	Passed	Remaining
829	629302	128893
830	630040	128130
831	630969	127407
832	631733	126650
833	633024	125997
834	634056	125292
835	634854	124540
836	636277	123910
837	637324	123205
838	637863	122402
839	639056	121725
840	639799	120960
841	640735	120233
842	641370	119448
843	642593	118773
844	643664	118068
845	644415	117304
846	645343	116573
847	645992	115791
848	647224	115113
849	648131	114376
850	648786	113594
851	650253	112954
852	650826	112158
853	651956	111458
854	652660	110685
855	654054	110027
856	654988	109292
857	655686	108516
858	656893	107825
859	657494	107033
860	658646	106332
861	659732	105618
862	660693	104884
863	662107	104220
864	662778	103439
865	663992	102742
866	665343	102065
867	665897	101265
868	667031	100553
869	667658	99765
870	668767	99048
871	669821	98322
872	670870	97595
873	671967	96873
874	672554	96079
875	673987	95404
876	674994	94668
877	675497	93861
878	676343	93103
879	677116	92334
880	678238	91612
881	679253	90875
882	680151	90122
883	681752	89460
884	682429	88677
885	683686	87968
886	684873	87250
887	685597	86471
888	686918	85768
889	687563	84979
890	688773	84260
891	690126	83557
892	690721	82762
893	691917	82039
894	692520	81245
895	693635	80511
896	694158	79708
897	695198	78964
898	695839	78175
899	696640	77404
900	697176	76604
901	698322	75870
902	699002	75086
903	700061	74342
904	700613	73545
905	701522	72784
906	702105	71990
907	703013	71230
908	703585	70435
909	704670	69692
910	705234	68897
911	706363	68157
912	706960	67366
913	707924	66609
914	708500	65817
915	709432	65057
916	709985	64262
917	711013	63511
918	711598	62719
919	712502	61956
920	713067	61164
921	714083	60410
922	714793	59630
923	715653	58863
924	716222	58072
925	717094	57305
926	717672	56515
927	718637	55756
928	719552	54992
929	720347	54219
930	720904	53429
931	721913	52671
932	722909	51913
933	723430	51120
934	723997	50331
935	724707	49552
936	725210	48760
937	726261	48004
938	726805	47215
939	727889	46461
940	728445	45673
941	729343	44906
942	729840	44115
943	730960	43362
944	731511	42574
945	732442	41809
946	733084	41027
947	734222	40273
948	735308	39516
949	736102	38742
950	737471	37997
951	738319	37226
952	739537	36472
953	741129	35735
954	741877	34957
955	743287	34209
956	743806	33420
957	745051	32664
958	745639	31878
959	746820	31117
960	747453	30333
961	748420	29563
962	749072	28780
963	750146	28013
964	751452	27254
965	752220	26475
966	753516	25714
967	754208	24932
968	755607	24173
969	756725	23403
970	757186	22614
971	758248	21842
972	758769	21055
973	759537	20275
974	760564	19501
975	761736	18731
976	762226	17943
977	763276	17169
978	763754	16382
979	764720	15606
980	765211	14820
981	765938	14039
982	766507	13255
983	767057	12472
984	768010	11695
985	769278	10922
986	769827	10139
987	770750	9361
988	771246	8578
989	772261	7800
990	772741	7017
991	773281	6236
992	774228	5457
993	774808	4676
994	776086	3899
995	776589	3118
996	777510	2339
997	778093	1559
998	779435	780
999	780693	0
